Designator,Mid X,Mid Y,Rotation,Layer
A1,93.396,-110.911,270.0,top
A2,41.39,-150.7188,180.0,bottom
B1,55.0672,-150.6908,180.0,bottom
C1,85.649,-118.491,270.0,bottom
C10,112.192,-119.634,90.0,bottom
C11,108.89,-134.366,270.0,bottom
C12,96.19,-114.526,270.0,bottom
C13,113.236,-117.348,0.0,bottom
C14,113.236,-116.332,0.0,bottom
C15,35.738,-160.02,90.0,bottom
C16,114.478,-160.007,270.0,bottom
C17,100.254,-118.872,270.0,bottom
C18,112.192,-121.666,90.0,bottom
C19,98.984,-127.0,90.0,bottom
C2,72.314,-118.11,270.0,top
C20,104.826,-118.11,180.0,bottom
C21,107.874,-134.366,270.0,bottom
C22,101.27,-182.88,90.0,bottom
C23,49.962,-134.366,90.0,bottom
C24,116.002,-160.02,270.0,bottom
C25,37.262,-160.02,90.0,bottom
C26,96.0226,-150.6888,180.0,bottom
C3,67.996,-118.11,270.0,top
C4,82.982,-118.491,90.0,bottom
C5,76.759,-118.11,270.0,top
C6,80.315,-118.491,90.0,bottom
C7,70.917,-180.454,270.0,bottom
C8,70.917,-184.33,270.0,bottom
C9,104.826,-119.126,180.0,bottom
D1,39.0312,-151.13,90.0,top
D10,61.8912,-151.13,90.0,top
D11,64.44,-151.1306,90.0,top
D12,66.9878,-151.1306,90.0,top
D13,69.5278,-151.1306,90.0,top
D14,72.0678,-151.1306,90.0,top
D15,74.6078,-151.1306,90.0,top
D16,77.1478,-151.1306,90.0,top
D17,79.6878,-151.1306,90.0,top
D18,82.2278,-151.1306,90.0,top
D19,84.7678,-151.1306,90.0,top
D2,41.5712,-151.13,90.0,top
D20,87.3078,-151.1306,90.0,top
D21,89.8478,-151.1294,90.0,top
D22,92.3956,-151.1294,90.0,top
D23,94.9356,-151.1294,90.0,top
D24,97.4756,-151.1294,90.0,top
D25,100.0156,-151.1294,90.0,top
D26,102.5556,-151.1294,90.0,top
D27,105.0956,-151.1294,90.0,top
D28,107.6356,-151.1294,90.0,top
D29,110.1756,-151.1294,90.0,top
D3,44.1112,-151.13,90.0,top
D30,112.7156,-151.1294,90.0,top
D31,38.9736,-168.9088,90.0,top
D32,41.5214,-168.9088,90.0,top
D33,44.0614,-168.9088,90.0,top
D34,46.6014,-168.9088,90.0,top
D35,49.1414,-168.9088,90.0,top
D36,51.6814,-168.9088,90.0,top
D37,54.2214,-168.9088,90.0,top
D38,56.7614,-168.9088,90.0,top
D39,59.3014,-168.9088,90.0,top
D4,46.6512,-151.13,90.0,top
D40,61.8414,-168.9088,90.0,top
D41,64.3892,-168.9094,90.0,top
D42,66.938,-168.9106,90.0,top
D43,69.478,-168.9106,90.0,top
D44,72.018,-168.9106,90.0,top
D45,74.558,-168.9106,90.0,top
D46,77.098,-168.9106,90.0,top
D47,79.638,-168.9106,90.0,top
D48,82.178,-168.9106,90.0,top
D49,84.718,-168.9106,90.0,top
D5,49.1912,-151.13,90.0,top
