Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"A2, B1, C26, D70, E1, F5, G1, H1, I1, J6, K1, L1",LQFP44_Tight,12,CH446Q,
"C1, C4, C6",1206,3,100uF,
"C11, C12, C18, C19, C20, C21, C9",0402,7,1u,
"C13, C14",0402,2,27p,
"C16, C22, C23, C25",0603,4,10uF,
"C2, C3, C5",CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,3,10uF,
"C7, C8",0603,2,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90",LED_WS2812B-2020_PLCC4_2.0x2.0mm,80,WS2812B,
"D61, D62, D65, D67, D68",D_SOD-323,5,1N5819,
"D63, D64, D66, D69",D_SOD-323,4,1N4148,
D91,LED_1206_REVERSEMOUNT_OVAL,1,LED,
F1,1206,1,FUSE,
F4,1206,1,PTC Fuse,
"FID1, FID2, FID3, FID4, FID5, FID6",Fiducial_1mm_Mask2mm,6,Fiducial,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Debug,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x06_P2.54mm_Vertical,1,SERIAL-USB,
J4,Breadboard_CustomClips_Fallback,1,Breadboard,
J5,USB_Mini-B_Wuerth_65100516121_Horizontal,1,USB_B_Mini,
JP1,SolderJumper_2_Bridged_Small,1,NANO 3V3,
"JP10, JP13, JP14, JP3, JP7, JP9",SolderJumper_2_Bridged_Small,6,Jumper_2_Bridged,
JP11,SolderJumper_2_Bridged_Small,1,DAC_PWR+,
JP12,SolderJumper_2_Bridged_Small,1,DAC_PWR-,
JP2,SolderJumper_2_Bridged_Small,1,NANO 5V,
"JP4, JP8",SolderJumper_2_Bridged_Small,2,SolderJumper_2_Bridged,
"JP5, JP6",SolderJumper_2_Open_Small,2,SolderJumper_2_Open,
"R1, R4",0603,2,2Ω,
"R10, R11, R12, R21, R22, R23, R24, R5, R6, R7, R8, R9",0402,12,1K,
"R13, R14",0402,2,21K,
"R15, R16, R19",0402,3,47K,
"R17, R18, R20",0402,3,68K,
"R2, R3",0402,2,22R,
SW1,SW_SPST_TL3342,1,USB BOOT,
SW2,Slide_Switch_SSSS223600,1,SW_DP3T,
TP1,TestPoint_Pad_D1.0mm,1,GPIO 16,
TP10,TestPoint_D0.75mm,1,ADC 1,
TP11,TestPoint_D0.75mm,1,ADC 2,
TP12,TestPoint_D0.75mm,1,ADC 3,
TP13,TestPoint_D0.75mm,1,-8V,
TP14,TestPoint_D0.75mm,1,+8V,
TP15,TestPoint_D0.75mm,1,LED DOUT,
TP2,TestPoint_Pad_D1.0mm,1,GPIO 17,
TP3,TestPoint_Pad_D1.0mm,1,GPIO 18,
TP4,TestPoint_Pad_D1.0mm,1,GPIO 19,
TP5,TestPoint_D0.75mm,1,FB/SHDN,
TP6,TestPoint_D0.75mm,1,VREF,
TP7,TestPoint_D0.75mm,1,0-5V DAC,
TP8,TestPoint_D0.75mm,1,+-8V DAC,
TP9,TestPoint_D0.75mm,1,ADC 0,
U1,DIP-8_W7.62mm,1,LT1054,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,L272D,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOT-23-6,1,MCP4725-0,
"U4, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,INA219,
U5,SOT-23-6,1,MCP4725-1,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,
U8,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U9,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABLS-12.000MHZ-B4-T,
