Designator,Mid X,Mid Y,Rotation,Layer
D100,112.903,-63.5,270.0,top
D101,110.363,-63.5,270.0,top
D102,107.823,-63.5,270.0,top
D103,105.283,-63.5,270.0,top
D104,102.743,-63.5,270.0,top
D105,100.203,-63.5,270.0,top
D106,97.663,-63.5,270.0,top
D107,97.663,-85.344,90.0,top
D108,100.203,-85.344,90.0,top
D109,102.743,-85.344,90.0,top
D110,105.283,-85.344,90.0,top
D111,107.823,-85.344,90.0,top
D112,110.363,-85.344,90.0,top
D113,112.903,-85.344,90.0,top
D114,115.443,-85.344,90.0,top
D115,117.983,-85.344,90.0,top
D116,120.523,-85.344,90.0,top
D117,123.063,-85.344,90.0,top
D118,125.603,-85.344,90.0,top
D119,128.143,-85.344,90.0,top
D120,130.683,-85.344,90.0,top
D121,133.223,-85.344,90.0,top
D122,89.408,-72.136,90.0,top
D92,133.223,-63.5,270.0,top
D93,130.683,-63.5,270.0,top
D94,128.143,-63.5,270.0,top
D95,125.603,-63.5,270.0,top
D96,123.063,-63.5,270.0,top
D97,120.523,-63.5,270.0,top
D98,117.983,-63.5,270.0,top
D99,115.443,-63.5,270.0,top
J10,125.603,-67.9958,0.0,top
J8,95.123,-63.6524,0.0,top
J9,130.683,-83.2358,0.0,top
TP18,135.763,-63.5,0.0,top
TP19,95.123,-68.072,0.0,top
