Ref,Val,Package,PosX,PosY,Rot,Side
"A2","CH446Q","LQFP44_Tight",41.390000,-150.718800,180.000000,bottom
"B1","CH446Q","LQFP44_Tight",55.067200,-150.690800,180.000000,bottom
"C1","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",88.062000,-118.579500,-90.000000,bottom
"C4","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",85.522000,-118.579500,90.000000,bottom
"C6","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",82.982000,-118.579500,90.000000,bottom
"C7","10u","C_0603_1608Metric",70.917000,-180.454000,-90.000000,bottom
"C8","10u","C_0603_1608Metric",70.917000,-184.330000,-90.000000,bottom
"C9","1u","C_0402_1005Metric",100.762000,-117.475000,-167.500000,bottom
"C10",".1uF","C_0402_1005Metric",52.959200,-123.190000,90.000000,bottom
"C11","1u","C_0402_1005Metric",104.699000,-132.588000,-60.000000,bottom
"C12","1u","C_0402_1005Metric",98.984000,-121.158000,55.000000,bottom
"C13","27p","C_0402_1005Metric",107.620000,-122.174000,-110.000000,bottom
"C14","27p","C_0402_1005Metric",111.049000,-120.777000,80.000000,bottom
"C15",".1uF","C_0402_1005Metric",52.959200,-120.904000,90.000000,bottom
"C16","10uF","C_0603_1608Metric",115.367000,-160.033000,-90.000000,bottom
"C17","27p","C_0402_1005Metric",41.834000,-136.398000,90.000000,bottom
"C18","1u","C_0402_1005Metric",98.730000,-130.302000,-122.500000,bottom
"C19","1u","C_0402_1005Metric",103.429000,-121.031000,110.000000,bottom
"C20","1u","C_0402_1005Metric",104.953000,-124.079000,-147.500000,bottom
"C21","1u","C_0402_1005Metric",111.544807,-129.434317,35.000000,bottom
"C22","27p","C_0402_1005Metric",43.358000,-136.370000,90.000000,bottom
"C23","27p","C_0402_1005Metric",44.882000,-136.398000,90.000000,bottom
"C24","27p","C_0402_1005Metric",48.438000,-134.112000,90.000000,bottom
"C25","10uF","C_0603_1608Metric",36.500000,-160.020000,90.000000,bottom
"C26","CH446Q","LQFP44_Tight",96.022600,-150.688800,180.000000,bottom
"D61","1N5819","D_SOD-323",72.060000,-115.824000,-90.000000,bottom
"D62","1N5819","D_SOD-323",69.520000,-115.790000,90.000000,bottom
"D63","1N4148","D_SOD-323",63.424000,-115.790000,-90.000000,bottom
"D65","1N5819","D_SOD-323",66.980000,-120.650000,-90.000000,bottom
"D66","1N4148","D_SOD-323",63.551000,-120.650000,90.000000,bottom
"D67","1N5819","D_SOD-323",69.520000,-120.650000,90.000000,bottom
"D68","1N5819","D_SOD-323",72.060000,-120.650000,-90.000000,bottom
"D70","CH446Q","LQFP44_Tight",109.689600,-150.688800,180.000000,bottom
"D91","LED","LED_PLCC2_reversemount",49.403200,-115.138200,0.000000,bottom
"E1","CH446Q","LQFP44_Tight",41.465600,-168.494200,180.000000,bottom
"F5","CH446Q","LQFP44_Tight",55.079600,-168.494200,180.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",47.930000,-179.070000,180.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",103.810000,-179.070000,180.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",42.850000,-111.760000,180.000000,bottom
"G1","CH446Q","LQFP44_Tight",95.999600,-168.494200,180.000000,bottom
"H1","CH446Q","LQFP44_Tight",109.713200,-168.494200,180.000000,bottom
"I1","CH446Q","LQFP44_Tight",68.717600,-150.690800,180.000000,bottom
"J6","CH446Q","LQFP44_Tight",68.669600,-168.494200,180.000000,bottom
"JP1","NANO 3V3","SolderJumper_2_Bridged_Small",67.386400,-132.791200,90.000000,bottom
"JP2","NANO 5V","SolderJumper_2_Bridged_Small",68.885000,-132.791200,90.000000,bottom
"JP13","Jumper_2_Bridged","SolderJumper_2_Bridged_Small",84.353600,-132.969000,90.000000,bottom
"JP14","Jumper_2_Bridged","SolderJumper_2_Bridged_Small",82.855000,-132.969000,90.000000,bottom
"K1","CH446Q","LQFP44_Tight",82.359600,-168.494200,180.000000,bottom
"L1","CH446Q","LQFP44_Tight",82.321600,-150.690800,180.000000,bottom
"R1","2Ω","R_0603_1608Metric",60.757000,-179.070000,0.000000,bottom
"R2","22R","R_0402_1005Metric",105.588000,-118.745000,-12.500000,bottom
"R3","22R","R_0402_1005Metric",108.763000,-117.602000,-80.000000,bottom
"R4","2Ω","R_0603_1608Metric",91.110000,-179.070000,0.000000,bottom
"R5","1k","R_0402_1005Metric",104.826000,-114.808000,115.000000,bottom
"R6","1K","R_0402_1005Metric",41.834000,-134.110000,-90.000000,bottom
"R7","1K","R_0402_1005Metric",101.143000,-129.159000,-80.000000,bottom
"R8","1K","R_0402_1005Metric",43.358000,-134.110000,-90.000000,bottom
"R9","1K","R_0402_1005Metric",108.255000,-132.969000,-120.000000,bottom
"R10","1K","R_0402_1005Metric",44.882000,-134.108000,-90.000000,bottom
"R11","1K","R_0402_1005Metric",111.557000,-133.223000,-104.000000,bottom
"R12","1k","R_0402_1005Metric",110.795000,-124.968000,-7.500000,bottom
"R13","47K","R_0402_1005Metric",49.962000,-134.110000,90.000000,bottom
"R14","47K","R_0402_1005Metric",46.914000,-134.110000,-90.000000,bottom
"R15","10K","R_0402_1005Metric",49.962000,-136.396000,90.000000,bottom
"R16","47K","R_0402_1005Metric",48.438000,-136.396000,90.000000,bottom
"R17","68K","R_0402_1005Metric",46.914000,-138.682000,90.000000,bottom
"R18","56.2K","R_0402_1005Metric",49.962000,-138.682000,90.000000,bottom
"R19","47K","R_0402_1005Metric",46.914000,-136.396000,90.000000,bottom
"R20","56.2K","R_0402_1005Metric",48.438000,-138.682000,90.000000,bottom
"R21","2K","R_0402_1005Metric",41.834000,-138.682000,-90.000000,bottom
"R22","2K","R_0402_1005Metric",43.358000,-138.682000,-90.000000,bottom
"R23","2K","R_0402_1005Metric",44.882000,-138.682000,-90.000000,bottom
"R24","1K","R_0402_1005Metric",40.564000,-122.174000,90.000000,bottom
"R26","2K","R_0402_1005Metric",97.079000,-118.745000,106.000000,bottom
"R27","2K","R_0402_1005Metric",95.628822,-122.818683,130.000000,bottom
"R29","68K","R_0402_1005Metric",46.152000,-134.110000,-90.000000,bottom
"SW1","USB BOOT","SW_SPST_TL3342",110.007600,-111.937800,135.000000,bottom
"TP5","FB/SHDN","TestPoint_D0.75mm",80.442000,-119.634000,180.000000,bottom
"TP6","VREF","TestPoint_D0.75mm",80.442000,-117.602000,180.000000,bottom
"TP7","0-5V DAC","TestPoint_D0.75mm",43.866000,-105.664000,180.000000,bottom
"TP8","+-8V DAC","TestPoint_D0.75mm",45.644000,-105.664000,180.000000,bottom
"TP9","ADC 0 IN","TestPoint_D0.75mm",52.883000,-105.664000,180.000000,bottom
"TP10","ADC 1 IN","TestPoint_D0.75mm",51.359000,-105.664000,180.000000,bottom
"TP11","ADC 2 IN","TestPoint_D0.75mm",49.835000,-105.664000,180.000000,bottom
"TP12","ADC 3 IN","TestPoint_D0.75mm",48.311000,-105.664000,180.000000,bottom
"TP13","-8V","TestPoint_D0.75mm",35.738000,-118.872000,-90.000000,bottom
"TP14","+8V","TestPoint_D0.75mm",35.738000,-117.094000,0.000000,bottom
"TP15","LED OUT","TestPoint_Pad_D1.0mm",116.510000,-144.780000,90.000000,bottom
"TP16","GPIO 0","TestPoint_Pad_D1.0mm",35.738000,-114.554000,0.000000,bottom
"TP17","LED IN","TestPoint_Pad_D1.0mm",35.230000,-144.780000,0.000000,bottom
"TP19","GND","TestPoint_Pad_D1.0mm",116.510000,-142.240000,0.000000,bottom
"TP22","TestPoint","BackMaskWindows",58.090000,-128.270000,0.000000,bottom
"TP23","TestPoint","BackMaskWindows",58.090000,-106.542937,0.000000,bottom
"TP25","GND","TestPoint_Pad_D1.0mm",35.230000,-142.240000,0.000000,bottom
"U2","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",76.784000,-182.372000,0.000000,bottom
"U4","INA219","SOIC-8_3.9x4.9mm_P1.27mm",60.630000,-182.626000,180.000000,bottom
"U6","INA219","SOIC-8_3.9x4.9mm_P1.27mm",91.110000,-182.753000,180.000000,bottom
"U7","LM324","SOIC-14_3.9x8.7mm_P1.27mm",60.376000,-134.620000,-90.000000,bottom
