Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano",93.396000,-110.911000,-90.000000,top
"C2","10uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",72.314000,-118.110000,-90.000000,top
"C3","10uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",67.996000,-118.110000,-90.000000,top
"C5","10uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",76.759000,-118.110000,-90.000000,top
"D1","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",39.031200,-151.130000,90.000000,top
"D2","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",41.571200,-151.130000,90.000000,top
"D3","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",44.111200,-151.130000,90.000000,top
"D4","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",46.651200,-151.130000,90.000000,top
"D5","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",49.191200,-151.130000,90.000000,top
"D6","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",51.731200,-151.130000,90.000000,top
"D7","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",54.271200,-151.130000,90.000000,top
"D8","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",56.811200,-151.130000,90.000000,top
"D9","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",59.351200,-151.130000,90.000000,top
"D10","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",61.891200,-151.130000,90.000000,top
"D11","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",64.440000,-151.130600,90.000000,top
"D12","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",66.987800,-151.130600,90.000000,top
"D13","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",69.527800,-151.130600,90.000000,top
"D14","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",72.067800,-151.130600,90.000000,top
"D15","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",74.607800,-151.130600,90.000000,top
"D16","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",77.147800,-151.130600,90.000000,top
"D17","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",79.687800,-151.130600,90.000000,top
"D18","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",82.227800,-151.130600,90.000000,top
"D19","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",84.767800,-151.130600,90.000000,top
"D20","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",87.307800,-151.130600,90.000000,top
"D21","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",89.847800,-151.129400,90.000000,top
"D22","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",92.395600,-151.129400,90.000000,top
"D23","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",94.935600,-151.129400,90.000000,top
"D24","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",97.475600,-151.129400,90.000000,top
"D25","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",100.015600,-151.129400,90.000000,top
"D26","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",102.555600,-151.129400,90.000000,top
"D27","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",105.095600,-151.129400,90.000000,top
"D28","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",107.635600,-151.129400,90.000000,top
"D29","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",110.175600,-151.129400,90.000000,top
"D30","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",112.715600,-151.129400,90.000000,top
"D31","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",38.973600,-168.908800,90.000000,top
"D32","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",41.521400,-168.908800,90.000000,top
"D33","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",44.061400,-168.908800,90.000000,top
"D34","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",46.601400,-168.908800,90.000000,top
"D35","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",49.141400,-168.908800,90.000000,top
"D36","WS2812B","LED_WS2812B-2020_PLCC4_2.0x2.0mm",51.681400,-168.908800,90.000000,top
